X,Y,OBJECTID,Latitude,Longitude,ID,City,ZIP,L1_evse,L2_evse,DCFC,Charger_Type
279961.088,-578088.6239,9318,32.770042,-117.015582,205365,La Mesa,91942,0,2,0,Level 2 only
-202531.2169,-14429.9102999996,9319,37.864414,-122.305478,205385,Berkeley,94720,0,2,0,Level 2 only
340354.009500001,-470502.4679,9320,33.72114,-116.327965,205386,Indian Wells,92210,0,2,0,Level 2 only
319454.468899999,-459775.2649,9321,33.824884,-116.549032,205390,Palm Springs,92262,0,0,1,DCFC only
319451.8057,-459775.9167,9322,33.824879,-116.549061,205391,Palm Springs,92262,0,0,1,DCFC only
319449.1063,-459775.5711,9323,33.824883,-116.54909,205392,Palm Springs,92262,0,0,1,DCFC only
-209983.264,-35275.8346999995,9324,37.675294,-122.384305,205401,Brisbane,94005,0,2,0,Level 2 only
-209982.0397,-35283.2048000004,9325,37.675228,-122.384289,205402,Brisbane,94005,0,2,0,Level 2 only
-209982.3179,-35290.7595000006,9326,37.67516,-122.38429,205403,Brisbane,94005,0,1,0,Level 2 only
-209982.489800001,-35301.0968999993,9327,37.675067,-122.384289,205404,Brisbane,94005,0,1,0,Level 2 only
-209984.8518,-35310.9343999997,9328,37.674978,-122.384313,205405,Brisbane,94005,0,1,0,Level 2 only
-209984.214500001,-35313.6193000004,9329,37.674954,-122.384305,205406,Brisbane,94005,0,1,0,Level 2 only
-209984.48,-35324.1766999997,9330,37.674859,-122.384305,205407,Brisbane,94005,0,2,0,Level 2 only
-89998.0753999986,-106308.2896,9331,37.055721,-121.013465,205419,Santa Nella,95322,0,2,2,Level 2 and DC Fast Chargers
-82566.0439999998,119215.575099999,9332,39.085122,-120.95537,205440,Colfax,95713,0,0,1,DCFC only
141218.351199999,-318243.8999,9333,35.1422,-118.448906,205441,Tehachapi,93561,0,0,1,DCFC only
-158047.710999999,-120853.423800001,9334,36.91587,-121.77655,205469,Watsonville,95076,0,0,4,DCFC only
163459.099100001,-428250.4961,9335,34.147738,-118.227263,205568,Glendale,91206,0,0,16,DCFC only
85970.4604000002,-293909.6056,9336,35.367859,-119.053012,205594,Bakersfield,93309,0,1,0,Level 2 only
85971.7479999997,-293911.2588,9337,35.367844,-119.052998,205595,Bakersfield,93309,0,1,0,Level 2 only
85971.8841999993,-293915.8112,9338,35.367803,-119.052997,205596,Bakersfield,93309,0,1,0,Level 2 only
85971.9118000008,-293909.48,9339,35.36786,-119.052996,205597,Bakersfield,93309,0,1,0,Level 2 only
-115232.480799999,-3245.62759999931,9340,37.979993,-121.313673,205598,Stockton,95204,0,2,0,Level 2 only
-115349.2619,-3461.58269999921,9341,37.978036,-121.31497,205599,Stockton,95204,0,2,0,Level 2 only
-115036.870700002,-3019.31039999984,9342,37.982053,-121.311479,205600,Stockton,95211,0,2,0,Level 2 only
-115115.017299999,-3467.94150000066,9343,37.978008,-121.312299,205601,Stockton,95211,0,2,0,Level 2 only
-115466.271699999,-3630.39399999939,9344,37.976503,-121.316277,205602,Stockton,95211,0,2,0,Level 2 only
-115547.3572,-3101.39709999971,9345,37.981251,-121.317285,205603,Stockton,95207,0,2,0,Level 2 only
-115172.320300002,-2765.84109999985,9346,37.984316,-121.313063,205609,Stockton,95207,0,2,0,Level 2 only
